,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,rnb,"I remember like it was yesterday
We were over Gwen's
And we was trying one more time to make amends
Oh yes we was
Suddenly it occured to me it did not matter
Whether I was mad at her
Or she was mad at me
Naw, babe
Understanding my condition
I must surely be a wishing
And a hoping to be free
Some say, you can leave, but it's going to cost you
She said, you can leave, but it's going to cost you
Yeah, she said, you can leave, but it's gonna cost you dearly, oh
You can leave, but it's going to cost you, hah, dearly
Sometimes your eyes was red as fire
Intoxicated
Sometimes your spirit was moving on me
It wanted to fight me
I had to fight to defend my life
I didn't mind it
You see, I find it
A bit stimulating
But after fighting
We're making love
Ooh baby, ooh baby, ooh baby
Cause after all, you was my wife
Hey, can you still boogie
Boogie down the road sometime
Hey, you can leave, but it's going to cost you
She said, you can leave, but it's going to cost you
You were trying to put me down
She said, you can leave, but it's going to cost you
I used to sing this song, I'm dancin' on
She said, you can leave, but it's going to cost you
Mystery man, what's going down
That young girl is going to cost you
If you want happiness, you got to pay
Oooh baby, used to be the apple of my eye
How come you loved me, baby?
How come you loved me
You used to be my heart's desire
My heart's desire, yeah
I'm gone, get used to it, baby
I'm gone, get used to it, baby
I'm gone, get used to it, baby
I'm gone, get used to it, baby
I'm gone, get used to it, baby
I'm gone, get used to it
I'm gone, get used to it, baby
I'm gone, get used to it
You tried to have them shackle me
Bring me in
Tell me what for
So I'd satisfy you baby
You have won the battle
Oh but Daddy's gonna win the war
Her lawyers worked so hard
Tryin'a take my riches
Rich things, too
Trying to sell my home
Tried to take my life
Not my child too
Tryina upset my woman
Examinin' my soul
But I was strong, baby
Stood my ground and prayed
Asked the Lord to help
Wish he was in a position
To upset the judge
You can leave, but it's going to cost you
You can leave, but it's going to cost you
You can leave, but it's going to cost you
You can leave, but it's going to cost you
You use to say that I was a gorgeous hunk of man
That didn't help me baby
Ah, when you was on the stand","i remember like it was yesterday we were over gwens and we was trying one more time to cook before we all died our hearts will burn and the day will come when you know you had better be alive""

""I feel so bad for you Ive tried to cause you to feel bad for me but Ive been wrong You never give up I never try to change Im all youre meant to do Im just gonna say yes to the feelings I want, thats my deal""

The video ends with one of my favorite moments from this year.

I mean<|endoftext|>",gpt2,0.39999999999999997,1.0,0.6238290350204225,"i remember like it was yesterday we were over gwens and we was trying one more time to cook before we all died our hearts will burn and the day will come when you know you had better be alive

i feel so bad for you ive tried to cause you to feel bad for me but ive been wrong you never give up i never try to change im all youre meant to do im just gonna say yes to the feelings i want, thats my deal

the video ends with one of my favorite moments from this year.

i mean"
1,1,rnb,"Tell me how you been
Well, it's so good to be seein' you again
Lady, you're so fine
I wish there was a way I could share your time
I need someone in my life
'Cause I'm lonely, yeah, for your lovin'
You make me feel so alive
You're the woman and nobody else will do
That's why I'm aimin' at your heart, aimin'
Aimin' at your heart, aimin', aimin'
Aimin' at your heart, aimin'
Aimin' at your heart
Why don't you love me, don't be shy
Like the wings of an eagle, let your feelings fly
Precious shinin' star
Do I need me a rocket to be where you are
I need someone in my life
'Cause I'm lonely for your lovin'
Ooh, girl, you make me feel so alive
You're the woman and nobody else would do
That's why I'm aimin' at your heart, aimin'
Aimin' at your heart, aimin', aimin'
Aimin' at your heart, aimin'
Aimin' at your heart
Aimin' at your heart","tell me how you been well, its so good to be seein you again lady, youre real nice...and talkin about the way you wanna be feeling I guess Ive never known you to feel so good....but its true. Im so happy to hear youre here baby...here you go slut, just let me do the talking....oh yea babe I will......go inside baby and take care of you...or Ive seen you in all your movies babe, so ive seen you just the way you like to have someone do a hug baby....lets just...take<|endoftext|>",gpt2,0.0,0.0,0.0,"tell me how you been well, its so good to be seein you again lady, youre real nice...and talkin about the way you wanna be feeling i guess ive never known you to feel so good....but its true. im so happy to hear youre here baby...here you go slut, just let me do the talking....oh yea babe i will......go inside baby and take care of you...or ive seen you in all your movies babe, so ive seen you just the way you like to have someone do a hug baby....lets just...take"
2,2,rnb,"Yeah, mmm, yeah
Do you know that some folks know about it, some don't
Some will learn to shout it, some won't
But sooner or later baby, here's a ditty
Say you're gonna have to get right down to the real nitty gritty
Now let's get right on down to the nitty gritty
Now one, two nitty gritty
Now yeah, mmm, nitty gritty now
Ooooowee, right down to the real nitty gritty
Ooooowee, can you feel it double beatin', I keep repeatin
Get right down to the real nitty gritty
Say it again double beatin'
Get on down, we gotta get right down to the real nitty gritty
Let's get, let's get right on down to the real nitty gritty
It's all right, it's all right
Get on down, get on down
Get right down to the real nitty gritty
Listen to me now
Oooowee, ooowee
Come on and let the good times roll
Let the music sink down in to your soul
Double beatin', keep repeatin'
You gotta get right down to the realy nitty gritty
Get on down, get on down
Talkin' about the nitty gritty
Get on down, get on down","yeah, mmm, yeah do you know that some folks know about it, some dont some will touch it up to, t's just a fact, and so it goes) - nope i dont, it doesnt, really dont, dont say what, nothing, you mean, i just... no... - no, no, i mean no, you know... its not, its nothing, its just a fact, its just a fact - hey, hey hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey<|endoftext|>",gpt2,0.0,0.0,0.0,"yeah, mmm, yeah do you know that some folks know about it, some dont some will touch it up to, ts just a fact, and so it goes  nope i dont, it doesnt, really dont, dont say what, nothing, you mean, i just... no...  no, no, i mean no, you know... its not, its nothing, its just a fact, its just a fact  hey, hey hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey"
3,3,rnb,"Walk in my shoes
This hurt inside is too much for me
Just walk in my shoes
You'll see I want the love that used to be
Try on my heartache
Go ahead and try it on for size
Just walk in my shoes
Then you'll see through someone else's eyes
What you've done to me
I fell apart when you walked out
(I just can't get myself together anymore)
('Cause I need, I need the love that we had)
Oh, baby
(We had to fall)
Well, why don't you walk, walk, walk in my shoes?
(Walk in my shoes)
And you'll wear a smile that isn't real
Just walk in my shoes
And you'll know how broken up I feel
Try out each new day
Wear the cloak of loneliness, I know
Just walk in my shoes
Or do you since you let me go
(Walk in my shoes)
Keep on walking
Walk on
(Walk in my shoes)
Walk on, walk on
Darling, I fell apart
Baby, baby, baby, when you walked out
(I just can't get myself together anymore)
('Cause I need, I need the love that we had)
Whoa oh, baby
(We had to fall)
Well, why don't you walk, walk, walk in my shoes?
(Walk in my shoes)
And I pray that you'll remember when
And if the shoe fits
Won't you say, you want my love again?
(Walk in my shoes)
Keep on walking
Walk on
(Walk in my shoes)
Keep on walking
Whoa oh
Whoa oh
Whoa oh, oh
(Walk in my shoes)
Walking
(Walk in my shoes)
Keep on walking
(Walk in my shoes)
Walk, walk, walk in my shoes","walk in my shoes this hurt inside is too much for me just walk in my shoes and believe me

Yes, you're right but I've got to hold on to your heart

Yeah, yeah, yeah

Yeah, yeah, yeah, yeah

Yeah, yeah, yeah, yeah, yeah, yeah

Yeah, yeah, yeah, yeah, yeah, yeah, yeah

Yeah, yeah, yeah, yeah, yeah, yeah

Yeah, yeah, yeah, yeah, yeah, yeah

Yeah, yeah, yeah, yeah<|endoftext|>",gpt2,0.4,1.0,0.5458017838948372,"walk in my shoes this hurt inside is too much for me just walk in my shoes and believe me

yes, youre right but ive got to hold on to your heart

yeah, yeah, yeah

yeah, yeah, yeah, yeah

yeah, yeah, yeah, yeah, yeah, yeah

yeah, yeah, yeah, yeah, yeah, yeah, yeah

yeah, yeah, yeah, yeah, yeah, yeah

yeah, yeah, yeah, yeah, yeah, yeah

yeah, yeah, yeah, yeah"
4,4,rnb,"Once upon a time was a dream that sounded crazy baby
In fairytales of mine, you would be the one that saved me oh baby
Any time I visualize you, I'm in paradise
It's you and me, thought you don't even know it
So even with a million miles distance between us
I know you'll be there to help me escape

Take me away from here
To somewhere the air is clear
Take me away from here
Go somewhere where love has no fear
Go!

You'll always be that spy that was sent to save me
From intimate danger
The world's playin' my mind
When I'm 'bout to lose it
But you're the game changer
Oh this silly heart of mine lost to a cutie pie
He so turns me on, it keeps getting stronger
Ooh I get a natural high just looking in his eyes
So just hold me close, I'm waiting for you

Take me away from here
To somewhere the air is clear
Take me away from here
Go somewhere where love has no fear
Go!

Oh, uh oh
Oh, uh oh
Take me away
Oh, uh oh
Take me away oh just take me away
Go!

Take me away from here
Just somewhere the air is clear
Take me away from here
Go somewhere where love has no fear
Go!","once upon a time was a dream that sounded crazy baby in fairytales of mine, you see?"" and while they were reminiscing it, Elsa took the children from her, straddling the children in their arms, sobbing and moaning as they watched, not knowing what to say, being so cold and focused, the pain of the first night in her life. The night before Christmas, when she had gone to check on the twins, Elsa had been gone all the time, wondering what had happened and her friends were gone. They were gone, at the side of the road on<|endoftext|>",gpt2,0.0,0.0,0.0,"once upon a time was a dream that sounded crazy baby in fairytales of mine, you see? and while they were reminiscing it, elsa took the children from her, straddling the children in their arms, sobbing and moaning as they watched, not knowing what to say, being so cold and focused, the pain of the first night in her life. the night before christmas, when she had gone to check on the twins, elsa had been gone all the time, wondering what had happened and her friends were gone. they were gone, at the side of the road on"
5,5,rnb,"Listen everybody, especially you girls
Is it right to be left alone
When the one you love is never home?
And I love too hard, my friends sometimes say
But I believe, I believe
That a woman should be loved that way
But it hurts me so inside
To see y'all treat me so unkind
Somebody, somewhere, tell her it ain't fair

Can I get a witness?
(Can I get a witness?)
Can I get a witness?
(Can I get a witness?)
Somebody, somebody
(Can I get a witness?)

Is it right to be treated so bad
When you've given everything you had?
Even tossin' in my sleep
'Cause I haven't seen my baby all week
Now, you chicks do agree
That this ain't the way love's supposed to be
Then emme hear, lemme hear you say, ""Yeah, hey""

Up early in the mornin'
With her on my mind
Just to find out all night that I've been cryin'
'Cause I believe (I believe) a woman is a man's best friend
I'm gonna stick by her right here, right now
'Til the very end
But she caused me so much misery
That I forget how love's supposed to be
Lemme hear you, lemme hear you say, ""Hey, hey""

I want a witness
(I want a witness)
Can I get a witness?
(Witness, witness)
I want a witness
(I want a witness)
Can I get a witness?
(Witness, witness)

Everybody knows, especially you girls
That love can be sad
But I have a love that's twice as bad
All you chicks agree
That this ain't the way love's supposed to be
Lemme hear you, lemme hear you say, ""Yeah, hey""

(I want a witness, can I get a witness?)
Can I get a witness? (I want a witness)
Somebody (Can I get a witness?)
In the mornin' (I want a witness)
I need a witness (Can I get a witness?)
Around about noon (I want a witness)
I want a witness (Can I get a witness?)
In the evenin' (I want a witness)
I need a witness (Can I get a witness?)
In the midnight hour (I want a witness)
I need a witness (Can I get a witness?)
I need somebody to hold me (I want a witness)
I need a witness (Can I get a witness?)
I need someone to squeeze me (I want a witness)
I need a witness (Can I get a witness?)
Need someone to tease me (I want a witness)
I need a witness (Can I get a witness?)
I, I, I, I, I, I (I want a witness)
I need a witness (Can I get a witness?)
True sweetness (I want a witness)
Kiss my face (Can I get a witness?)
I need you (I want a witness)
All over the place (Can I get a witness?)
I just need somebody (I want a witness)
To hold me tight (Can I get a witness?)
On the cold, cold (I want a witness)
Cold and windy night (Can I get a witness?)
I need you, (I want a witness)
I need a witness (Can I get a witness?)
Early in the mornin' (I want a witness)
Satisfied (Can I get a witness?)
I just want somebody to hold me tight
I need somebody to squeeze at night
I had a little girl when I was, you know
When time's to come and who's to be
I remember I am, girl, set me free
She makes me move like I never did
She give me everything I want, then
I want a witness, I need a witness
Somebody, somebody
So baby, I gotta move
I gotta move, I wanna move
(Court's in session, I need a witness)
I need a witness, I gotta move
(Court's in session, I need a witness)
I need a witness
I need it, I need
I need a witness, I gotta move
(Court's in session, I need a witness)
I need a witness
(Court's in session, I need a witness)
(Court's in session, I need a witness)
Somebody, I gotta move
(Court's in session, I need a witness)
Somebody, I gotta move
I need a witness
I need somebody
Oh, somebody","listen everybody, especially you girls is it right to be left alone when the one you love has gone? Sincerely, Gabrielle"", Julie Christie<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"listen everybody, especially you girls is it right to be left alone when the one you love has gone? sincerely, gabrielle, julie christie"
6,6,rnb,"Oh, oh, yeah
Ooh my mercy

Ooh, how I remember daddy
He was strong and had a built in tan, yeah
And though he only stood about five feet seven
My daddy was a heck of a man, yes he was, y'all
He loved us all and we knew it, yeah
Though he showed it in a very funny way
For most of the time he was a-cussin' and fussin'
When he said what he had to say
Now, now, now

Daddy couldn't read
Daddy couldn't write
But one thing daddy sure could do right

He could swear
Oh, Lord, I declare
Yes, he could, y'all
Daddy could swear
I declare, oh mercy

I still remember seein' him in the backyard
Just a-pickin' and a-paintin' away (Woo, woo, woo, woo)
Ooh, my brothers and sisters
Still talk about how
Daddy lost his temper that day (Woo, woo, woo, woo)
You see, he built a picket fence
From the garage to the house
Well, tell me what I say
The same day the garbage man
Backed into the fence
And the whole darn thing gave way
You should have been there

Daddy couldn't read (Ooh my, mercy)
Daddy couldn't write (Ooh my, mercy)
One thing daddy sure could do right

He could swear
Oh, Lord, I declare
Yes, he could, y'all
Daddy could swear
Oh, Lord, I declare
Yes, he could, y'all

Tell 'em about
Tell about your daddy
My daddy was a 
""What you say? Watch your mouth""
My daddy was a 
""What you say? Watch your mouth""
My daddy was a 
""What you say? Watch your mouth
Ooh, no

My, my, my, my, my daddy wasn't no scholar, no
No, he didn't have a PhD (Woo, woo, woo, woo)
Hah, but in my eyes and down in my heart
My daddy means the world to me (Woo, woo, woo, woo)
He'll probably go out (Talkin' about daddy)
Cursin', just a-fussin'
And a-bein' mad
But I hope the Good Lord will understand ('Bout my dad)
That my daddy's is just bein' my dad
Now, now, now, now

Daddy couldn't read
Daddy couldn't write
But one thing daddy sure could do right

He could swear
Oh, Lord, I declare
Ooh y'all, yes he could
He could swear (I declare)
I declare, ooh my mercy

Mercy, that's my daddy (I declare, that's my daddy)
He could swear y'all (He could swear)
Talkin' 'bout daddy (Talkin' 'bout daddy)
I declare y'all (I declare)
That's my daddy (That;s my dad)
Ooh lord (He could swear)
Talking 'bout daddy (Talking bout daddy)
I declare y'all (I declare)
That's my daddy (That's my dad)
He could swear y'all (He could swear)
Talking about daddy (Talkin' about daddy)","oh, oh, yeah ooh my mercy ooh, how i remember daddy he was strong and had me baby babyoh, oh my mercy ooh, oh my mercy oh my grieve, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my g<|endoftext|>",gpt2,0.0,0.0,0.0,"oh, oh, yeah ooh my mercy ooh, how i remember daddy he was strong and had me baby babyoh, oh my mercy ooh, oh my mercy oh my grieve, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my grieve oh, oh my g"
7,7,rnb,"It's summertime and the living is easy
Fish are jumping and the cotton is high
Your daddy's rich and your mama's good looking
Hush little baby
Don't you cry
Hmmmm....
One of these mornings you're gonna rise up singing
You spread your wings and take to the sky
But until that morning there is nothing can harm you....
With your daddy and mommy standing by
They are standing by
Hmmmm...","its summertime and the living is easy fish are jumping and the cotton is high your eardrums, not so easy, I thought it was so important to be a little bit more creative about my time this year to look at the facts on this summery island<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"its summertime and the living is easy fish are jumping and the cotton is high your eardrums, not so easy, i thought it was so important to be a little bit more creative about my time this year to look at the facts on this summery island"
8,8,rnb,"I betcha I
Betcha I can
Betcha I can love
Betcha I can love ya
Betcha I can love you like you've never been loved before
Betcha I, Betcha I, Betcha I
Betcha I, Betcha I, Betcha I
I betcha I can woo ya
Betcha I can do ya
Betcha I can do you till you're dead and done
Betcha I can love ya
Betcha I can hold ya
So doncha know that I'm the only one
Betcha I can love you like you've never been loved before
I betcha I can feed ya
Betcha I can bleed ya
And make you think you're havin' fun
Betcha I can choose ya
Betcha I can lose ya
I betcha I can drop you like a smokin' gun
Betcha I can tease ya
Betcha I can freeze ya
Betcha I can warm you like the mornin' sun
Betcha I can flirt ya
Betcha I can hurt ya
Betcha I can do ya till you're dead and done
Betcha I can love you like you've never been loved before
I betcha I
Betcha I can
Betcha I can love
Betcha I can love ya
Betcha I can love you like you've never been loved before
I betcha I can hold you
Betcha I can mold you
Betcha I can take you or leave you alone
Betcha I can kiss you
Don't you know that I can dismiss you
And you're dismissed now
Like a rolling stone
And how does it feel?
Betcha I can love you like you've never been loved before",i betcha i betcha i can betcha i can love betcha i can love ya betcha i can love ya Betcha i can love ya betcha i can love ya<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,i betcha i betcha i can betcha i can love betcha i can love ya betcha i can love ya betcha i can love ya betcha i can love ya
9,9,rnb,"When the world is on your shoulder
Gotta straighten up your act and boogie down
If you can't hang with the feelin'
Then there ain't no room for you in this part of town
'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall (Live it off the wall)

You can shout out all you want to
'Cause there ain't no sin in folks all gettin' loud
If you take the chance and do it
Then there ain't no one who's gonna put you down
'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall (Live it off the wall)

Do what you want to do
There ain't no rules, it's up to you (Ain't no rules, it's all up to you)
It's time to come alive
And party on right through the night (All right)

Gotta hide your inhibitions
Gotta let that fool loose deep inside your soul
Wanna see an exhibition (Ahee)
Better do it now before you get too old
'Cause we're the party people night and day
Livin' crazy, that's the only way

So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Life ain't so bad at all (Live life off the wall)
Live your life off the wall
So tonight, gotta leave that nine to five upon the shelf
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all
If you live it off the wall
Tonight, gotta leave that nine to five upon the shelf (Yeah)
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all (Wanna live)
Tonight, gotta leave that nine to five upon the shelf (Nine to five)
And just enjoy yourself (Come on, and)
Groove, let the madness in the music get to you
Life ain't so bad at all (Yeah)","when the world is on your shoulder gotta straighten up your act and boogie down if you can) don't you see I mean, you've got to learn to shake it off. It ain't gonna end in tears if you wanna know what you got left.""<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"when the world is on your shoulder gotta straighten up your act and boogie down if you can dont you see i mean, youve got to learn to shake it off. it aint gonna end in tears if you wanna know what you got left."
