Unnamed: 0.1,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics,genre_class_act,genre_class_pred,correct_classifcation
0,Folk,"I know how it feels to be head over heels
To be lost in true love and the light of the moon
When everything seems to be coming up roses
And every word seems to be rhyming with June
Suddenly, all of your dreams have come true
Happiness lives in your heart
Then out of nowhere, one becomes two
And everything seems to be falling apart
Is it love? When your heart, feels like it's broken
Is it love? And you just can't take anymore
Is it love? When there's nothing left to be spoken
Is it love? And there's nothing worth listening for
Is it love? ooh ooh
I know what it means to get caught up in dreams
And in prayers that are answered with each passing day
When loving and laughter are birds of a feather
And sharing and caring is one simple way
You know you'll never be alone
That someone will always be near
Then you turn around when your best friend is gone
Oh, where do they go? When they just disappear?
Is it love? When your heart, feels like it's broken
Is it love? And you just can't take anymore
Is it love? When the good times have all been forgotten
Is it love? And you fear there won't be anymore
Is it love? ooh ooh
There's no answer, there seems to be nothing to say
In your anger would you even hear anyway
It was magic but somehow you've broken the spell
It was heaven and somehow it's turned into hell
Is it love? When you know that your heart has been broken
Is it love? And you just can't take it anymore
Is it love? When you feel more than you could imagine
Is it love? Now there's nothing that's worth living for
Is it love? ooh ooh ooh ooh ooh",i know how it feels to be head over heels to be lost in true love with your malegirlfriend? it is often necessary to both remember that we have a child and live together and hope to keep our children together we may need to deal with your pain on a personal level but if you are interested in a deep deeper understanding of the body then the real issue of love its just not there yet<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,"i know how it feels to be head over heels to be lost in true love with your malegirlfriend? it is often necessary to both remember that we have a child and live together and hope to keep our children together, we may need to deal with your pain on a personal level but if you are interested in a deep deeper understanding of the body then the real issue of love, its just not there yet.",0.0,7,0
1,Folk,"Holy war
Genocide
Suicide
Hate and cruelty...
How can this be holy?
If I had a heart I'd cry
These ancient tales...
The good go to heaven
And the wicked ones burn in hell...
Ring the funeral bells!
If I had a heart I'd cry
There's just too many people now
Too little land
Much too much desire
You feel so feeble now
It's so out of hand
Big bombs and barbed wire
We've set our lovely sky
Our lovely sky
On fire!
There's just too many people now
And too little land
Too much rage and desire
It makes you feel so feeble now
It's so out of hand-
Big bombs and barbed wire...
Can't you see
Our destiny?
We are making this Earth
Our funeral pyre!
Holy Earth
How can we heal you?
We cover you like a blight...
Strange birds of appetite...
If I had a heart I'd cry
If I had a heart I'd cry
If I had a heart I'd cry",holy war genocide suicide hate and cruelty how can this be holy? if i had a head to grind the living with my throat how could this possibly be my holy life? how could this be holy? if i had a heart that could match my dying breath and that it could destroy me if i had a face that could fit my shame and joy and hate and grief and pity and pain if i had a voice that could speak and guide me through life if i had a body that could dance with my grace and sorrow and love and victory if i had a voice<|endoftext|>,gpt2,0.0,0.0,0.0,"holy war genocide suicide hate and cruelty... how can this be holy? if i had a head to grind the living with my throat, how could this possibly be my holy life? how could this be holy? if i had a heart that could match my dying breath and that it could destroy me... if i had a face that could fit my shame and joy and hate and grief and pity and pain... if i had a voice that could speak and guide me through life... if i had a body that could dance with my grace and sorrow and love and victory... if i had a voice",0.0,2,0
2,Folk,"Late last night so far away
I dreamed myself a dream
Well, I dreamed I as so all alone
Isn't it nice to be home again?
I said welcome home
Didn't we miss your smiling face?
Well the sun was nice in L.A., sunshine
Isn't it nice to be home again?
Well I said isn't it nice to be home again?","late last night so far away i dreamed myself a dream well i dreamed i as bad as before and i cant do it any better i cant give a shit how bad i am then even i hope i dont make it to the day just to see how i could stay by you
@edwardyou said sorry babe its the last thing i ever want to do not really<|endoftext|><|endoftext|>",gpt2,0.4023665345459057,0.8528551118749682,0.8528551118749682,"late last night so far away i dreamed myself a dream well, i dreamed i as bad as before and i cant do it any better, i cant give a shit how bad i am then even i hope i dont make it to the day just to see how i could stay by you
@edwardyou said sorry babe, its the last thing i ever want to do not really",0.0,5,0
3,Folk,"Photographs and memories
Christmas cards you sent to me
All that I have are these to remember you
Memories that come at night
Take me to another time
Back to a happier day, when I called you mine
But we sure had a good time
When we started way back when
Morning walks and bedroom talks
Oh, how I loved you then
Summer skies and lullabies
Nights we couldn't say goodbye
And of all of the things that we knew
Not a dream survived
Photographs and memories
All the love you gave to me
Somehow it just can't be true
It's all I've left of you
But we sure had a good time
When we started way back when
Morning walks and bedroom talks
Oh, how I loved you then",photographs and memories christmas cards you sent to me all that i have are these to share with you you do not need to be like me and call me hairy and do not be someone who will tell me how my life goes<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,photographs and memories christmas cards you sent to me all that i have are these to share with you. you do not need to be like me and call me hairy and do not be someone who will tell me how my life goes.,0.0,6,0
4,Folk,"I stole your style
Hope you don't mind
I must try to be all I can be
It suits me more
Than it ever suited you
Hope you like the new me
I stole your laugh
So bright and breezy
It stops parties in mid-air
It makes me feel more devil-may-care
Hope you like the new me
Hope you like the new me
We all need friends to lean on
Any time, any place, anywhere
Feel free to lean on me
But please don't do it right now
Yes I'm much too busy right now
I stole your walk
The one with purpose
That says there is no mountain I can't climb
It fools people all of the time
Hope you like the new me
I stole your jokes
Just the good ones
How the gang all laughed with glee
I also stole
The way that you tell them
Hope you like the new me
Hope you like the new me
To steal is to flatter
What a compliment to pay
All those things that I stole from you
Well I might give them back someday
Yes I really might someday
I stole your wife
Hope you don't mind
She was looking bored don't you think
I'll soon have her back in the pink
Stop by and see us for tea
I stole your soul
When you weren't looking
I reached inside and cut it free
It suits me more
Than it ever suited you
Hope you like the new me
Hope you like the new me",i stole your style hope you dont mind i must try to be all i can is 100% loyal for you to try again maybe you will do what you can to get me a few hours free but i'm afraid that if you can't get me free i wont love you much forever forever<|endoftext|><|endoftext|>,gpt2,0.0,0.0,0.0,"i stole your style hope you dont mind i must try to be all i can is 100% loyal for you to try again maybe you will do what you can to get me a few hours free but im afraid that if you cant get me free i wont love you much, forever, forever",0.0,5,0
5,Folk,"Within the fire and out upon the sea
Crazy Man Michael was walking
He met with a raven with eyes black as coals
And shortly they were a-talking
Your future, your future I would tell to you
Your future you often have asked me
Your true love will die by your own right hand
And crazy man Michael will cursèd be
Michael he ranted and Michael he raved
And beat up the four winds with his fists-o
He laughed and he cried, he shouted and he swore
For his mad mind had trapped him with a kiss-o
You speak with an evil, you speak with a hate
You speak for the devil that haunts me
For is she not the fairest in all the broad land
Your sorcerer's words are to taunt me
He took out his dagger of fire and of steel
And struck down the raven through the heart-o
The bird fluttered long and the sky it did spin
And the cold earth did wonder and startle
O where is the raven that I struck down dead
And here did lie on the ground-o
I see that my true love with a wound so red
Where her lover's heart it did pound-o
Crazy Man Michael he wanders and calls
And talks to the night and the day-o
But his eyes they are sane and his speech it is plain
And he longs to be far away-o
Michael he whistles the simplest of tunes
And asks the wild wolves their pardon
For his true love is flown into every flower grown
And he must be keeper of the garden",within the fire and out upon the sea crazy man michael was walking he met with some black drunkard and his nephew who was playing hide and seek they stole everything and hiked to a hole in the ground to go to meet the new fisherman that had been his uncle michael went to look and find some white men were swimming in the water michael found a black man dancing around him michael took a picture of the old man and stole the old man a while back and took his picture with the new man michael said no no no no no and michael take his picture<|endoftext|>,gpt2,0.0,0.0,0.0,within the fire and out upon the sea crazy man michael was walking he met with some black drunkard and his nephew who was playing hide and seek they stole everything and hiked to a hole in the ground to go to meet the new fisherman that had been his uncle michael went to look and find some white men were swimming in the water michael found a black man dancing around him michael took a picture of the old man and stole the old man a while back and took his picture with the new man michael said no no no no no and michael take his picture,0.0,0,1
6,Folk,"The old folks don't talk much
They talk so slowly when they do
They are rich they are poor
Their illusions are gone
They share one heart for two
Their homes all smell of time
Of old photographs
And an old fashioned song
Though you may live in town
You live so far away
When you've lived too long
Have they laughed too much
Do their dry voices crack
Talking of things gone by
Have they cried too much
A tear or two still always seems
To cloud the eye
They tremble as they watch the old silver clock
When day is through
Tick tock oh so slow
It says yes it says no
It says I wait for you
The old folks dream no more
Their books have gone to sleep
The piano's out of tune
The little cat is dead
And no more do they sing on a sunday afternoon
The old folks move no more
Their world become to small
Their bodies feel like lead
They might look out a window
Or else sit it a chair
Or else they stay in bed
And if they still go out
Arm in arm, arm in arm
In the morning chill
Its to have a good cry
To say their last goodbye
To one who's older still
And then they go home
To the old silver clock
When day is through
Tick tock so so slow
It says yes it says no
It says I wait for you
The old folks never die
They just put down their heads
And go to sleep one day
They will hold each others hands
Like children in the dark
But one will get lost anyway
And the other will remain
Just sitting in a room
Which makes no sound
It doesn't matter now
The song has died away
And echo's all around
You'll see them as they walk
Through the sun filled parks
Where children run and play
It hurst to much to smile
It hurts so much
But life goes on for still another day
As they try to escape the old silver clock
When day is through
Tick tock oh so slow
It says yes it says no
It says I wait for you
The old old silver clock
Thats hanging on the wall
That waits for us all",the old folks dont talk much they talk so slowly when they do they are rich and then they dont say shit  jonny on valor i was so used to the air going away i didnt see much i could say there was a time when i just stood there and looked around for things to talk about a few moments i could but that was the past the only thing i could think about was the man who died  jaime lannister on valor valor is the greatest movie of all time and what you need in the middle east is<|endoftext|>,gpt2,0.0,0.0,0.0,"the old folks dont talk much they talk so slowly when they do they are rich and then they dont say shit  jonny on valor i was so used to the air going away, i didnt see much i could say. there was a time when i just stood there and looked around for things to talk about, a few moments i could, but that was the past. the only thing i could think about was the man who died.  jaime lannister on valor valor is the greatest movie of all time and what you need in the middle east is",0.0,0,1
7,Folk,"Put your finger in the air, in the air
Put your finger in the air, in the air
Put your finger in the air, and hold it right up there
Put your finger in the air, in the air
Put your finger on your cheek, on your cheek
Put your finger on your cheek, on your cheek
Put your finger on your cheek, leave it there a week
Put your finger on your cheek, on your cheek
Put your finger on your nose, on your nose
Put your finger on your nose, on your nose
Put your finger on your nose, and see if it grows
Put your finger on your nose, on your nose
Put your finger on your ear, on your ear
Put your finger on your ear, on your ear
Put your finger on your ear, and leave it there a year
Put your finger on your ear, on your ear
Put your finger on your finger, on your finger
Put your finger on your finger, on your finger
Put your finger on your finger, leave it there, let it linger
Put your finger on your finger, on your finger",put your finger in the air in the air put your finger in the air in the air put your finger in the air in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air get out of here out of here let me spit out my sorrow let me spit out my bitterness let me spit out my bitterness let me spit out my<|endoftext|>,gpt2,0.0,0.0,0.0,"put your finger in the air, in the air put your finger in the air, in the air put your finger in the air, in the air put your finger in the air, put your finger in the air put your finger in the air put your finger in the air, put your finger in the air put your finger in the air put your finger in the air put your finger in the air put your finger in the air get out of here, out of here let me spit out my sorrow, let me spit out my bitterness let me spit out my bitterness let me spit out my",0.0,0,1
8,Folk,"When Charlie speaks of Lester
You know someone great has gone
The sweetest swinging music man
Had a Porkie Pig hat on
A bright star
In a dark age
When the bandstands had a thousand ways
Of refusing a black man admission
Black musician
In those days they put him in an
Underdog position
Cellars and chittlins'
When Lester took him a wife
Arm and arm went black and white
And some saw red
And drove them from their hotel bed
Love is never easy
It's short of the hope we have for happiness
Bright and sweet
Love is never easy street!
Now we are black and white
Embracing out in the lunatic New York night
It's very unlikely we'll be driven out of town
Or be hung in a tree
That's unlikely!
Tonight these crowds
Are happy and loud
Children are up dancing in the streets
In the sticky middle of the night
Summer serenade
Of taxi horns and fun arcades
Where right or wrong
Under neon
Every feeling goes on!
For you and me
The sidewalk is a history book
And a circus
Dangerous clowns
Balancing dreadful and wonderful perceptions
They have been handed
Day by day
Generations on down
We came up from the subway
On the music midnight makes
To Charlie's bass and Lester's saxophone
In taxi horns and brakes
Now Charlie's down in Mexico
With the healers
So the sidewalk leads us with music
To two little dancers
Dancing outside a black bar
There's a sign up on the awning
It says ""Pork Pie Hat Bar""
And there's black babies dancing...
Tonight!","when charlie speaks of lester you know someone great has gone the sweetest swinging music man ever lester lester i hope that i saw his cheek again with the night i played for him

in one of his books little women bruce ballinger tells us how joseph smith was a befriend of his brother moses and how he came to be baptized bruce ballinger also tells of how he began believing in lord blanche and joseph smith the latter with which he is still acquainted today in these pages we see that the fact that joseph<|endoftext|>",gpt2,0.4,1.0,0.8082030512358988,"when charlie speaks of lester you know someone great has gone the sweetest swinging music man ever, lester lester, i hope that i saw his cheek again with the night i played for him.

in one of his books little women bruce ballinger tells us how joseph smith was a befriend of his brother moses and how he came to be baptized. bruce ballinger also tells of how he began believing in lord blanche and joseph smith, the latter with which he is still acquainted today. in these pages, we see that the fact that joseph",0.0,1,0
9,Folk,"You thought that it could never happen
To all the people that you became
Your body lost in legend, the beast so very tame
But here, right here
Between the birthmark and the stain
Between the ocean and your open vein
Between the snowman and the rain
Once again, once again
Love calls you by your name
The women in your scrapbook
Whom you still praise and blame
You say they chained you to your fingernails
And you climb the halls of fame
Oh but here, right here
Between the peanuts and the cage
Between the darkness and the stage
Between the hour and the age
Once again, once again
Love calls you by your name
Shouldering your loneliness
Like a gun that you will not learn to aim
You stumble into this movie house
Then you climb, you climb into the frame
Yes and here, right here
Between the moonlight and the lane
Between the tunnel and the train
Between the victim and his stain
Once again, once again
Love calls you by your name
I leave the lady meditating
On the very love which I, I do not wish to claim
I journey down the hundred steps
But the street is still the very same
And here, right here
Between the dancer and his cane
Between the sailboat and the drain
Between the newsreel and your tiny pane
Once again, once again
Love calls you by your name
Where are you Judy? Where are you Anne?
Where are the paths your heroes came?
Wondering out loud as the bandage pulls away
Was I, was I only limping, was I really lame?
Oh here, come over here
Between the windmill and the grain
Between the sundial and the chain
Between the traitor and her pain
Once again, once again
Love calls you by your name","you thought that it could never happen to all the people that you became your bodyguard?

i said well in the ring if i was your bodyguard then maybe i wouldn't think so

then he said you see you got a wrong idea doctor

i said doctor?

i said i mean what if you were my bodyguard?

i mean i could never have

i thought he meant that i could never have the memories that i had of<|endoftext|>",gpt2,0.4000000000000001,1.0,0.5430737585856141,"you thought that it could never happen to all the people that you became your bodyguard?

i said, well, in the ring, if i was your bodyguard, then maybe i wouldnt think so.

then he said, you see, you got a wrong idea, doctor.

i said, doctor?

i said, i mean, what if you were my bodyguard?

i mean, i could never have.

i thought he meant that i could never have the memories that i had of",0.0,6,0
