,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Pop,"""Never look back,"" we said
How was I to know I'd miss you so?
Loneliness up ahead, emptiness behind
Where do I go?
And you didn't hear
All my joy through my tears
All my hopes through my fears
Did you know still I miss you somehow?

From the bottom of my broken heart
There's just a thing or two I'd like you to know
You were my first love, you were my true love
From the first kisses to the very last rose
From the bottom of my broken heart
Even though time may find me somebody new
You were my real love
I never knew love 'til there was you
From the bottom of my broken heart

""Baby,"" I said, ""Please stay
Give our love a chance for one more day""
We could've worked things out
Taking time is what love's all about
But you put a dart
Through my dreams, through my heart
And I'm back where I started again
Never thought it would end

From the bottom of my broken heart (My broken heart)
There's just a thing or two I'd like you to know
You were my first love, you were my true love
From the first kisses to the very last rose
From the bottom of my broken heart
Even though time may find me somebody new
You were my real love
I never knew love 'til there was you
From the bottom of my broken heart

You promised yourself
But to somebody else
And you made it so perfectly clear
Still I wish you were here

From the bottom of my broken heart
There's just a thing or two I'd like you to know
You were my first love, you were my true love
From the first kisses to the very last rose
From the bottom of my broken heart
Even though time may find me somebody new
(You were my real love) You were my real love
I never knew love 'til there was you
From the bottom of my broken heart

""Never look back,"" we said
How was I to know I'd miss you so?","""never look back,"" we said how was i to know id miss you so? loneliness up, feeling your head spinning around, watching me kiss you right now? my love was wonderful and as you whispered into my ear, my love finally begun to feel stronger. i knew my love was better than this yet and i couldn't get it back... the thing is, every time you push me down my throat and kiss me hard and soft and happy i get closer to you and feel you waiting on my tongue and slowly let my face flow down my throat and down my tongue... you are my<|endoftext|>",gpt2,0.0,0.0,0.0,"never look back, we said how was i to know id miss you so? loneliness up, feeling your head spinning around, watching me kiss you right now? my love was wonderful and as you whispered into my ear, my love finally begun to feel stronger. i knew my love was better than this yet and i couldnt get it back... the thing is, every time you push me down my throat and kiss me hard and soft and happy i get closer to you and feel you waiting on my tongue and slowly let my face flow down my throat and down my tongue... you are my"
1,1,Pop,"Look at those beautiful eyes
She reminds me so much of me
Starting out in a brand new world
Who she gonna be?
Will she follow everything that's been said?
Maybe listen to her heart instead
Maybe she needs to be free
She got that from me

What you get is what you see
It's a fantasy life, but it's real to me
And I'll do what I want when I want to do it
I didn't want to live in a box or mansion fault with doors and locks so I never let anyone put me through it

Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Give it up to you
Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Do it all for you

They all talk, talk, talking at me
Telling me who I am, what to do with my body
And I'll do what I want when I want to do it
Grandma, soon I'll see you too when I overdose, tripping on my shoes
Be the next Queen of Pop

Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Give it up to you
Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Do it all for you

(Instrumental chimes and hymns)
Give it up to you
Do it all for you

Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Give it up to you
Freedom, skin it
Freedom, bop it
Freedom, sell it (Spirit)
Do it all for you

Freedom, Freedom, Freedom
Can't you see?
Freedom, Freedom, Freedom
That's all I want from me",look at those beautiful eyes she reminds me so much of me starting out in a weird relationship with a girl who turned out to be a cool girl and I didn't want to fall in love with her like this. Then we meet at the friend bar. That was what I wanted. My friends used to tell me to take care of my mother. She is my mother. I'd been dating her for years. I never knew it was happening but I was not sure if she was there or if she was just waiting for me to take care of her. Now it was just<|endoftext|>,gpt2,0.0,0.0,0.0,look at those beautiful eyes she reminds me so much of me starting out in a weird relationship with a girl who turned out to be a cool girl and i didnt want to fall in love with her like this. then we meet at the friend bar. that was what i wanted. my friends used to tell me to take care of my mother. she is my mother. id been dating her for years. i never knew it was happening but i was not sure if she was there or if she was just waiting for me to take care of her. now it was just
2,2,Pop,"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos
Everybody knows a turkey and some mistletoe
Will help to make the season bright
And tiny tots with their eyes all aglow
Will find it hard to sleep tonight

They know that Santa is on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gonna spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
To kids from 1 to 92
Though it's been said many times, many ways
Merry Christmas to you

They know that Santa is on his way, he's on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is going to spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
To kids from 1 to 92
Although it's been said many times, many ways
Merry Christmas, yeah, merry Christmas
Merry Christmas, merry Christmas to you
Merry Christmas, merry Christmas
Merry Christmas","chestnuts roasting on an open fire jack frost nipping at your nose yuletide carols being sung by a man and a woman and you're singing to him a message on your heart that says'see me one last time before you burn.' She would burn you to the ground if she could get it out of your system. That may sound harsh, but there is no shame in that. All she wants is love. ""I know you can beat me with your every move but for me to be loved you must need to beat me like a machine. Put a microphone in my face and let<|endoftext|>",gpt2,0.0,0.0,0.0,"chestnuts roasting on an open fire jack frost nipping at your nose yuletide carols being sung by a man and a woman and youre singing to him a message on your heart that sayssee me one last time before you burn. she would burn you to the ground if she could get it out of your system. that may sound harsh, but there is no shame in that. all she wants is love. i know you can beat me with your every move but for me to be loved you must need to beat me like a machine. put a microphone in my face and let"
3,3,Pop,"If you love somebody
Put a light in the air
From the hood to the stakes
Fry your finger in the air
Flo Rida up in here
Wyclef up in here
If I could I would pull it up and rewind
To the time when it was just me and you
Oh how we were inseparable
If I could I'd pull it up and rewind
To the time before you went away
Wish I could go back to yesterday
If I could I'd pull it up and rewind
I try sticking to the rivers that I'm used to
But these tears got me searching for an inner tube
Witness my homies life shorter than my inner lose
Don't wanna drown in my hurt cause it's critical
I pop champagne, but still it's a damn pain
Beedee I love you my sister died but it never changed
My last love that we just ditched in my brain
Give up the fortune and the fame to hear you say my name
The ghetto rough while the doff try purple rain
Lord knows I wish death never had a name
Our last breath that it never had a relevate
Wyclef, Flo Rida here to tell it man
To the left, move, hurt for suffering
I lose myself when I think about my people's slain
If I could I'd rewind this whole thing
If I could I would pull it up and rewind
To the time when it was just me and you
Oh how we were inseparable
If I could I'd pull it up and rewind
To the time before you went away
Wish I could go back to yesterday
If I could I'd pull it up and rewind
So I sit down and I had try
Are you living up in this life?
I know if I could I'd pull it up and rewind
If I could take yesterday and place it in my palms
I anticipate the day like a school prom
Promise tomorrow what you think till you lose some
Big will I know heaven got the futon
Face good with the man paid your dues done
Wack your shows in Japan with me getting drunk
We had plans, plans change the new sun
The lord never leave us lonely when you lose one
If I could change the past, my people wouldn't past
I wish life was TiVo and you could bring it back
I wish it all was remote and how the day be said
I were IP use it like its pixel flap
Pull up the hood times, pull up the good times
Everyday be forever when I'm puttin down
Showing off that's the truth nah
If I could I would pull it up and rewind
To the time when it was just me and you
Oh how we were inseparable
If I could I'd pull it up and rewind
To the time before you went away
Wish I could go back to yesterday
If I could I'd pull it up and rewind
So I sit down and I had try
Are you living up in this life?
I know if I could I'd pull it up and rewind
If I had the gift be here I'd cure your mom from cancer
Take the Breena and stuck em up all with answers
Take the crack feen turn her into the prom queen
Have her graduate suma ku la day
But she so high that she's riding on drug assist
Growing up like the women from the exorcist
Her heart stopped in the ambulance
If I could I would pull it up and rewind
To the time when it was just me and you
Oh how we were inseparable
If I could I'd pull it up and rewind
To the time before you went away
Wish I could go back to yesterday
If I could I'd pull it up and rewind
So I sit down and I had try
Are you living up in this life?
I know if I could I'd pull it up and rewind","if you love somebody put a light in the air from the hood to the stakes in the back of your head so you can see them grow!

Now grab a nice pair of sunglasses and a copy of the iphone or iphone pair of headphones and take a moment to realize what a gorgeous year you had.

WITH THE PERFECT QUICK PROBLEM

1) Hold down the right button and choose the option on the upper right. There will be two options if you want to hear only the last word.

2<|endoftext|>",gpt2,0.4,1.0,0.5933025212901362,"if you love somebody put a light in the air from the hood to the stakes in the back of your head so you can see them grow!

now grab a nice pair of sunglasses and a copy of the iphone or iphone pair of headphones and take a moment to realize what a gorgeous year you had.

with the perfect quick problem

1 hold down the right button and choose the option on the upper right. there will be two options if you want to hear only the last word.

2"
4,4,Pop,"My friend, hmm my love
Faded, oh

It was overcast that day
And I was feeling some kind of way
I pulled the covers up over my head
Tried reaching for you, but that was then
I can’t forget

My heart's hung over but ain't nothing different
I close my eyes, nothing but faded pictures
Of you, of you...

Faded
Baby you’re faded
Baby you’re faded
Faded
You come and you go
You’re just an echo
A whisper in my ear, but in the morning you’re not here
So intangible, just like an echo

Still try and pretend this possible
To bring us back to life
But we continue to subside
Hanging on for life on this rollercoaster ride

I call your name baby, subconsciously
Always somewhere but you're not there for me
Boy you, boy you...

Faded
Baby you’re faded
Baby you’re faded
Faded (boy you just come and you go)
You come and you go
You’re just an echo (just an echo)
A whisper in my ear, but in the morning you’re not here
So intangible, just like an echo

Faded, baby
You’re always somewhere but you’re not there for me
Not there for me, not there for me
You’re always somewhere but you’re not there for me
Not there for me, not there for me","my friend, hmm my love faded, oh it was overcast that day and i was feeling my heart drop but there was a pause and my eyes fell open and i couldn't believe what i was seeing and the lightning came and i opened my eyes and the world was a beautiful piece of me that had been lost forever but the pain was all over again so let me know if you know anything i can do for you for my little one to remember my love before my death


Sadden Murphy<|endoftext|><|endoftext|>",gpt2,0.0,1.0,0.7222222222222222,"my friend, hmm my love faded, oh it was overcast that day and i was feeling my heart drop but there was a pause and my eyes fell open and i couldnt believe what i was seeing and the lightning came and i opened my eyes and the world was a beautiful piece of me that had been lost forever but the pain was all over again so let me know if you know anything i can do for you for my little one to remember my love before my death


sadden murphy"
5,5,Pop,"I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy

I wanted the fame but not the cover of Newsweek
Oh well, guess beggars can't be choosey
Wanted to receive attention for my music
Wanted to be left alone in public, excuse me
For wantin' my cake, and eat it too, and wantin' it both ways
Fame made me a balloon ‘cause my ego inflated
When I blew, see, but it was confusing
‘Cause all I wanted to do's be the Bruce Lee of loose leaf
Abused ink, used it as a tool when I blew steam
Whoo! Hit the lottery, ooh-wee
But with what I gave up to get it was bittersweet
It was like winnin' a used mink
Ironic ‘cause I think I'm gettin' so huge I need a shrink
I'm beginnin' to lose sleep: one sheep, two sheep
Goin' coo-coo and kooky as Kool Keith
But I'm actually weirder than you think, ‘cause I'm—

I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothin' (Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)
Well, that's nothin' (Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)

Now, I ain't much of a poet
But I know somebody once told me to seize the moment
And don't squander it ‘cause you never know when it all
Could be over tomorrow, so I keep conjurin'
Sometimes I wonder where these thoughts spawn from
Yeah, ponderin'll do you wonders
No wonder you're losin' your mind, the way it wanders
Yodel-odel-ay-hee-hoo! I think it went wanderin' off down yonder
And stumbled onto Jeff VanVonderen
‘Cause I need an interventionist
To intervene between me and this monster
And save me from myself and all this conflict
‘Cause the very thing that I love's killin' me and I can't conquer it
My OCD's conkin' me in the head, keep knockin'
Nobody's home, I'm sleepwalkin'
I'm just relayin' what the voice in my head's sayin'
Don't shoot the messenger, I'm just friends with the—

I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothin' (Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)
Well, that's nothin' (Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)

Call me crazy, but I have this vision, one day that
I'll walk amongst you a regular civilian
But until then, drums get killed and
I'm comin' straight at MC's, blood gets spilled and
I'll take you back to the days that I'd get on a Dre track
Give every kid who got played that pumped-up feelin'
And shit to say back to the kids who played him
I ain't here to save the fuckin' children
But if one kid out of a hundred million
Who are goin' through a struggle, feels it and relates, that's great!
It's payback, Russell Wilson fallin' way back
In the draft, turn nothin' into somethin', still can make that
Straw into gold, chump, I will spin—Rumpelstiltskin in a haystack
Maybe I need a straightjacket
Face facts: I am nuts for real, but I'm okay with that!
It's nothin', I'm still friends with the—

I'm friends with the monster that's under my bed
Get along with the voices inside of my head
You're tryin' to save me, stop holdin' your breath
And you think I'm crazy, yeah, you think I'm crazy

I'm friends with the monster that's under my bed
(Get along with) Get along with the voices inside of my head
(You're tryin' to) You're tryin' to save me, stop holdin' your breath
(And you think) And you think I'm crazy, yeah, you think I'm crazy
Well, that's nothin'

(Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)
Well, that's nothin' (Ooh-ooh-ooh-ooh)
(Ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh, ooh-ooh-ooh-ooh)",im friends with the monster thats under my bed get along with the voices inside of me get along with the things I need to do and get it over with get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get<|endoftext|>,gpt2,0.0,0.0,0.0,im friends with the monster thats under my bed get along with the voices inside of me get along with the things i need to do and get it over with get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get over there get
6,6,Pop,"You used to say that I'd never be
Nothin' without you, and I'd believe
I'm shot in the lungs, I gasp, I can't breathe
Just lay here with me, baby, hold me please
And I'd beg and I'd plead, drop to knees
And I'd cry and I'd scream, ""Baby, please don't leave!""
Snatch the keys from your hand, I would squeeze
And you'd laugh, and you'd tease
You're just fucking with me, and you must hate me
Why do you date me, if you say I make you sad ?
And you've had enough of me
I smother you, I'm 'bout to jump off the edge

But you won't break me
You'll just make me stronger than I was
Before I met you, I bet you I'll be just fine without you
And if I stumble, I won't crumble
I'll get back up and uhh
But I'ma still be humble when I scream ""Fuck you!""
‘Cause I'm stronger than I was

A beautiful face is all that you have
‘Cause on the inside you're ugly and mad
But you're all that I love, I grasp, you can't leave
Please stay here with me, baby, hold me please
And I'd beg and I'd plead, drop to knees
And I'd cry and I'd scream, ""Baby, please don't leave!""
But you left and you took everything I had left
And left nothin', nothin' for me
So, please don't wake me from this dream, baby
We're still together in my head
And you're still in love with me
'Til I woke up to discover that that dream was dead

But you won't break me
You'll just make me stronger than I was
Before I met you, I bet you I'll be just fine without you
And if I stumble, I won't crumble
I'll get back up and uhh
But I'ma still be humble when I scream ""Fuck you!""
‘Cause I'm stronger than I was

You walked out, I almost died
It was almost a homicide
That you caused, ‘cause I was so traumatized
Felt like I was in for a long bus ride
I'd rather die than you not be by my side
Can't count how many times I vomited, cried
Go to my room, turn the radio on and hide
Thought we were Bonnie and Clyde
Nah, on the inside you were Jekyll and Hyde
I felt like my whole relationship with you was a lie
It was you and I, why did I think it was ride or die?
‘Cause if you coulda took my life you woulda
It's like you put a knife through my chest
And pushed it right through to the
Other side of my back and stuck a spike too, shoulda
Put up more of a fight, but I couldn't
At the time, no one could hurt me like you coulda
Take you back now, what's the likelihood of that?
Bite me, bitch, chew on a nineteen footer!
‘Cause this morning I finally stood up
Held my chin up, finally showed a sign of life in me for the
First time since you left
And left me with nothin' but shattered dreams
And the life we coulda had and we coulda been
But I'm breakin' out of this slump I'm in
Pullin' myself out of the dumps once again
I'm gettin' up once and for all—fuck this shit!
I'ma be late for the pity party
But you're never gonna beat me to the fuckin' punch again
Took it on the chin like a champ
So don't lump me in with them chump-ions
I'm done bein' your punching bag
It was the November 31st today
Woulda been our anniversary
Two years, but you left on the 1st of May
I wrote it on a calendar, was gonna call
But couldn't think of the words to say
But they came to me just now—so I put 'em in a verse to lay

And I thank you, ‘cause you made me
A better person than I was
But I hate you, ‘cause you drained me
I gave you all, you gave me none
But if you blame me, you're crazy
And after all is said and done
I'm still angry, yeah, I may be
I may never trust someone

But you won't break me
You'll just make me stronger than I was
Before I met you, I bet you I'll be just fine without you
And if I stumble, I won't crumble
I'll get back up and uhh
But I'ma still be humble when I scream ""Fuck you!""
‘Cause I'm stronger than I was","you used to say that id never be nothin without you, and id believe im shotin in the back so many times we couldn't go to sleepin now ive been just lying in the shadows and im one the innocent ones. all i have to do is be worth the fight and ive done my part for you and im at a loss im not gonna lie and say that i never gave up to try to save you and that if you want to find another man that i'll never let you go.<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"you used to say that id never be nothin without you, and id believe im shotin in the back so many times we couldnt go to sleepin now ive been just lying in the shadows and im one the innocent ones. all i have to do is be worth the fight and ive done my part for you and im at a loss im not gonna lie and say that i never gave up to try to save you and that if you want to find another man that ill never let you go."
7,7,Pop,"Las Vegas nights
Have been calling
But I wait to see her float down stairs
There she stands with her eyes full and yearning
I look
And I know gotta be there
Is there another chance
To bring her closer
Make her feel I know we could be happy again
Is there another chance
To bring her flowers
So she will only whisper my name
A chance to make things right for her
And make my lies seem true
I'm begging Do
Don't go down to the station
Somehow we won't live that long
Don't go now, desert flower
Cause you just won't bloom
And your memories made need more room
See that mirror there
Will she look inside
To see the one I fear standing alone
And on my phonograph
Will she put them in
The songs that only remind her of me
A chance to make things right for her
And make my life seem true
I'm begging Do
CHORUS
I step outside The Joint
To clouds of guilt and fear
And there are shades of red dancing in view
Las Vegas nights
Make me wonder
How much longer I will be a fool
A chance to make things right for her
Make my lies seem true
I'm begging Do
CHORUS","las vegas nights have been calling but i wait to see her float down stairs there with me! she and i feel like a dragon but i can't help but notice her baby step inside me and it looks like i was out of breath. i tried my best to cry but i couldn't take my eyes off her face and i got stuck in the corner where she was holding my baby body. she jumped out of the window and sat down on her side of the bed and let me walk her down the stairs with her and she was real sexy too!

twerk bo<|endoftext|>",gpt2,0.4,1.0,0.8333333333333334,"las vegas nights have been calling but i wait to see her float down stairs there with me! she and i feel like a dragon but i cant help but notice her baby step inside me and it looks like i was out of breath. i tried my best to cry but i couldnt take my eyes off her face and i got stuck in the corner where she was holding my baby body. she jumped out of the window and sat down on her side of the bed and let me walk her down the stairs with her and she was real sexy too!

twerk bo"
8,8,Pop,"How dare you say that my behavior's unacceptable
So condescending unnecessarily critical
I have the tendency of getting very physical
So watch your step, 'cause if I do, you'll need a miracle
You drain me dry and make me wonder why I'm even here
The double vision I was seeing is finally clear
You want to stay, but you know very well I want you gone
Not fit to fuckin' tread the ground that I am walking on

But when it gets cold outside and you got nobody to love
You'll understand what I mean when I say
""There's no way we're gonna give up""
And like a little girl cries in the face of a monster that lives in her dreams

Is there anyone out there?
'Cause it's getting harder and harder to breathe
Is there anyone out there?
'Cause it's getting harder and harder to breathe

What you are doing is screwing things up inside my head
You should know better, you never listened to a word I said
Clutching your pillow and writhing in a naked sweat
Hoping somebody someday will do you like I did

But when it gets cold outside and you got nobody to love
You'll understand what I mean when I say
""There's no way we're gonna give up""
And like a little girl cries in the face of a monster that lives in her dreams

Is there anyone out there?
'Cause it's getting harder and harder to breathe

I hang your picture well
I frame it, maybe need a nail
Or some tape, to stick it on the wall
When I walk in, it stay
Or maybe Velcro
To strap your bows and patches on the elbows
In the coat when it's cold
I mean winter-cold
That's rain, sleet, hail, snow
Hell, no
She's lookin' at me like I sell bras
But, I don't, wouldn't, won't
I am not that guy
Cross my T's, dot that I
Say it's hard to breathe?
We are not that high
Inhale, exhale, inhale, exhale
Breathe it in, out again
Oxygen, count me out
Ten products in the aisle that I cannot
Breathe in, shoots in and think
If they sink, I won't swim
Like I won't hold my breath when I float in this bitch
Backstroke, high-dive, diving boards don't slip
And belly-flop, knock the block outta your socks
And your feet in the water, there to shock ya
Make it harder to breathe

But when it gets cold outside and you got nobody to love
You'll understand what I mean when I say
""There's no way we're gonna give up""
And like a little girl cries in the face of a monster that lives in her dreams

Is there anyone out there?
'Cause it's getting harder and harder to breathe",how dare you say that my behaviors unacceptable so condescending unnecessarily critical i have the tendency to get defensive of myself and even disregard others saying what i do not mean i would love to do something stupid just to impress you and impress my mom what a wonderful woman you are...but then i find myself agreeing with you so i have to put my mind to it and ask you to stop what you're doing and to stop taking my money for anything that i'm not giving you and telling me not to show up at my church every night and give me money for my wedding to be cancelled and<|endoftext|>,gpt2,0.0,0.0,0.0,how dare you say that my behaviors unacceptable so condescending unnecessarily critical i have the tendency to get defensive of myself and even disregard others saying what i do not mean i would love to do something stupid just to impress you and impress my mom what a wonderful woman you are...but then i find myself agreeing with you so i have to put my mind to it and ask you to stop what youre doing and to stop taking my money for anything that im not giving you and telling me not to show up at my church every night and give me money for my wedding to be cancelled and
9,9,Pop,"Mr. Worldwide!
Ha ha ha
With the mami, with the sexiest body
J.Lo, let's ride!

I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
I would like to get, to know you, baby
Like, to get, a piece of that sexy body
Like, to get, a piece of that sexy body
A piece of that sexy body

I got the flow that took over the globe, yeah
I got the cribs on the island for sure, yeah
I got the jet fueled up, ready to go
I put my money where my mouth is
I got the bread to blow
Baby believe me, baby you need me
Don't deceive me, then we'll be straight
And whenever you see me
Baby just tease me
I like a little foreplay, yeah that's great
Now you're thinking that you know me
But you don't 'cause I do things these men won't
These boys act like they're ballers
But they ain't
I definitely do the things that they can't
I'm in my own world, girl, no rules, no laws
No thongs, no bras
Now show me that sexy body, baby, I wanna see it all

I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
Like, to get, a piece of that sexy body
A piece of that sexy body

S for the sex
E for the e in
X, forget about your ex
Y, 'cause baby, I'm up next
B for the best
O for the one
D 'cause I'm down
Y, yolo, done
Home run, grand slam
I am, the man
You're the biddy-bing-bing-bang-bang, that thang
Now I'm actin' a fool, girl ain't no rules
Why hit one when I can hit a few?
It's been like that since high school
If it ain't broke, why fix it? This shit, gon' gift it
Word to the wise; keep it long distance
Don't need assistance, so mind your business
I hit and run, but when it comes to a sexy body, you're the one

Got a feeling that maybe this just was  meant to be
Let's go, oh
Wanna feel you come in close like you belong to me
There's one thing I don't know

I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
I would like, to get, to know you, baby
Like, to get, a piece of that sexy body
Like, to get, a piece of that sexy body
A piece of that sexy body","mr. worldwide! ha ha ha with the mami, with the sexiest body j.lo, lets ride! i know that the funny part is that i didn't love the mami but i still remember the cold nights before i moved in and saw that mami in my bed and she told me to go sit down and just let her stroke her body. and i told her i didn't want to do it but she told me to go see her little boy and he could take the MII in his hands. and he could play with my breasts while i was at the kitchen table and put my hands up<|endoftext|>",gpt2,0.0,0.0,0.0,"mr. worldwide! ha ha ha with the mami, with the sexiest body j.lo, lets ride! i know that the funny part is that i didnt love the mami but i still remember the cold nights before i moved in and saw that mami in my bed and she told me to go sit down and just let her stroke her body. and i told her i didnt want to do it but she told me to go see her little boy and he could take the mii in his hands. and he could play with my breasts while i was at the kitchen table and put my hands up"
