,R&B,PAV,SSV,MSV
0,"i remember like it was yesterday 
 we were over ""gwen's"" 
 and we was trying to carry 
 You were made to shake it up 
 I was in the field 
 And you were the only thing I had to be 
 So I was trying to tell you 
 Somebody had no longer say 
 When I leave her, I go) 
 I met you 
 I don't want you to be 
 I don't want you to know 
 I don't wanna be alone 
 I don't wanna be alone 
 
 I don't wanna go... 
 Unfair in the morning 
 I don't want you to be 
 
 I want",0.3800453001517306,1.0,0.46985562500463735
1,"tell me how you been 
 well, ""it's"" so good to be ""seein'"" you again 
 You know I'm gonna make it anyway 
 You make me feel 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make me wanna... 
 You make",0.8848296707932265,0.9981544795303242,0.5207749092069995
2,"yeah, mmm, yeah 
 do you know that some folks know about it, some ""don't"" 
 I know that I don't know what to do 
 I know what I know 
 That's what I want, that's what I want 
 That's what I want, that's what I want, that's what I want 
 
 I want the horns of the world, I want to know 
 
 'Cause when I told you that 
 I beg you in my arms 
 I walk in my heart 
 And I know I would be the only fool 
 Oh, oh, made me feel so good 
 You know I don't know if I have a chance",0.4554877993642415,1.0,0.49682881659374645
3,"walk in my shoes 
 this hurt inside is too much for me 
 just walk through the night 
 I love you 
 I love you 
 I love you 
 I love you 
 
 I love you 
 I love you 
 Baby 
 
 I know I love you 
 I love you 
 And I love you 
 I love you, I love you 
 I love, I love you 
 I love you 
 I love you 
 I love you 
 And I love you 
 I love you 
 
 I love you, I love you 
 I love you 
 I love you 
 I love you",0.7047525956282049,1.0,0.5271562207870313
4,"once upon a time was a dream that sounded crazy baby 
 in fairytales of mine, yeah 
 And it seems so good 
 
 I know you are the only thing that I have 
 
 I will always love you 
 I will always love you 
 
 I will always love you 
 I will always love you 
 I will always love you 
 I will always love you 
 
 Bittersweet with you, I love you, I love you 
 I love you I love you 
 I love you, I love you 
 
 I love you 
 I love you, I love you 
 I love you 
 I",0.6027445803548013,1.0,0.5173946728763127
5,"listen everybody, especially you girls 
 is it right to be left alone 
 when the brokenhearted flies with the dove 
 Oh, yeah 
 My love is on the sun 
 Like the carousel 
 The way the sun is the pain 
 
 I know you and I can't deny 
 I don't know why I do 
 I know I will 
 And I know I know 
 I know that I love you 
 I know you and I know you got it, I know you got it, I know you got it 
 I know that it ain't you like it 
 You know I ain't got it, I ain't got",0.42754668399423035,1.0,0.4911880194736106
6,"oh, oh, yeah 
 ooh my mercy 
 
 ooh, how i remember daddy 
 he gives me 
 Oh baby, oh baby, oh baby 
 
 I can't explain to you 
 I just can't stop loving you 
 
 I just can't stop loving you 
 
 I can't believe I can't wait 
 I can't wait, I can't wait, I can't wait, I can't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't wait, I won't keep no no 
 I can't take it 
 I won't have no luck 
 To",0.37569454159295057,1.0,0.4992977090906475
7,"""it's"" summertime and the living is easy 
 fish are jumping and the cotton is high 
 But we can dance all the way 
 But it won't be no 
 Just because we can generate 
 I know the color thing 
 I know that I love you 
 And I know that I love you 
 And I love you 
 I love you 
 I love you 
 I love you 
 
 You're the one 
 That's the way love 
 You're the one 
 Maybe, the way 
 You can see the way you do 
 And the way you want me to 
 And the way you do 
 The",0.5276393923017098,1.0,0.5001392404953401
8,"i betcha i 
 betcha i can 
 betcha i can love 
 betcha i can risk you no more 
 You can make me feel real good 
 
 You make me feel like you need me 
 You make me feel like a natural woman 
 
 I'm a greedy man (He's a greedy man) 
 I guess a man ain't got a woman's worth) 
 I got a Basketball Jones, oh baby, oh 
 I got my wild 
 I got a Basketball Jones, oh baby 
 I got a Basketball Jones, baby (Eat my girl 
 I got a house of my ding 
 I got a house for a girl 
",0.5018970838625362,1.0,0.5228745403544319
9,"when the world is on your shoulder 
 gotta straighten up your act and boogie down 
 Everybody, and leave your hands, 
 
 I swear you must know 
 You can turn back to the world 
 I can see your face 
 When you hold me tight 
 
 I just wanna be the one 
 Baby, I wanna be your man 
 
 I'm writing you Dear John 
 
 I know you want a love song 
 And I don't know what to do 
 I know how it feels to love you 
 But I love you, I love you 
 I love you 
 And I love you 
 I",0.4411401168858113,1.0,0.5101771027556442
