,Unnamed: 0,genre,original_lyric,generated_lyric,model,PAV,SSV,MSV,cleaned_generated_lyrics
0,0,Soul,"Should you stay should you go
Hmm you're beginning to see
I blow hot i blow cold
Oo it's just the devil in me
You got to understand i am
In love with a beautiful man
So if you're feeling insecure
You've really got no cause to be

I want you near me
Don't turn away
Just got used to having you around
I want you near me
Come on here and stay
Don't let me down

You're so good with your hands
To help me with a hook or zip
Indispensable that's what you are
Hmm for the occasional kiss
I'm only playing games with you
I can't be nice without being cruel
I know it's unfair but i make the rules


All i want i've decided
Is your attention
Undivided","should you stay should you go hmm youre beginning to see i blow hot i blow so much air everytime i blow so much air the mia too Its in my heart dont stop it or do anything to help, please dont try and stop me everytime i blow and start to cause so much pain and discomfort, please dont try and stop me sometimes until i stop and say something you dont understand. its wrong, its wrong to stop, its wrong to try and change things, you know its right, its right, its right. But dont stop trying to stop me, dont<|endoftext|>",gpt2,0.0,0.0,0.0,"should you stay should you go hmm youre beginning to see i blow hot i blow so much air everytime i blow so much air the mia too its in my heart dont stop it or do anything to help, please dont try and stop me everytime i blow and start to cause so much pain and discomfort, please dont try and stop me sometimes until i stop and say something you dont understand. its wrong, its wrong to stop, its wrong to try and change things, you know its right, its right, its right. but dont stop trying to stop me, dont"
1,1,Soul,"I am in love with a beautiful girl
I am in love with a beautiful girl
It is almost like dancing and romancing
In her arms
It is just a part of it
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
Da de de da de da da dum
Da da da da da da da dum
La da da da da da da dum
Cannot you see that I am in love
(Love)
I am in love with a beautiful girl
I am in love with a beautiful girl
It is almost like dancing and romancing
In her arms
It is just a part of it
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
Da da da da da da da dum
Da da da da da la da dum
She will never know la DA DA dum
Cannot you see that I am in love
(Love)

It is almost like dancing and romancing
In her arms
It is just a part of it
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
She never thought la DA DA dum
At all of the time Le DA DA dum (Mumble)
La da da da la da da dum
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
Cannot you see that I am in love
(Love)
I am in love
(Love)
I am in love
(Love)
I am in
(Love)","i am in love with a beautiful girl i am in love with a beautiful girl i am in love with a beautiful girl I know thats what this woman wants, she dont want me to ask her to do anything for me... I know thats what this woman wants, she dont want me to ask her to do anything for me... Im in love with a beautiful girl Im in love with a beautiful girl Im in love with a beautiful girl Im in love with a beautiful girl Im in love with a beautiful girl Im in love with a beautiful girl Im in love with a beautiful girl Im<|endoftext|>",gpt2,0.0,0.0,0.0,"i am in love with a beautiful girl i am in love with a beautiful girl i am in love with a beautiful girl i know thats what this woman wants, she dont want me to ask her to do anything for me... i know thats what this woman wants, she dont want me to ask her to do anything for me... im in love with a beautiful girl im in love with a beautiful girl im in love with a beautiful girl im in love with a beautiful girl im in love with a beautiful girl im in love with a beautiful girl im in love with a beautiful girl im"
2,2,Soul,"No no no
No no no
My world has fell apart ‘cause you don’t love me no more
How can I face life, when you’re all I’m living for
Baby don’t turn me away
Please hear what I say
‘Cause I love you, I love you
Filled with confusion, my tears have started to flow
My whole life depends on you, please don’t tell me to go
I know I’ve got to find, some way to make you change your mind
Oh don’t turn me away
Please hear what I say
‘Cause I love you oh I love you
Internes is all around me, your love is slipping from the side
Your taking my life from me, leaving me the shadows of night
You know I love you so, please don’t tell me to go
Oh don’t turn me away
Please hear what I say
Baby don’t turn me away
Baby please
Baby don’t baby don’t, baby please baby please, you know I love you",no no no no no no my world has fell apart ‘cause you don’t love me too’ ‘so’ I’t so’ can’t’’’ tell you’’ about how I’d feel’ and how it’ really felt ’’’’’’’’’’’’’’’’’’’’’’’’’’�<|endoftext|>,gpt2,0.0,0.0,0.0,no no no no no no my world has fell apart ‘cause you don’t love me too’ ‘so’ i’t so’ can’t’’’ tell you’’ about how i’d feel’ and how it’ really felt ’’’’’’’’’’’’’’’’’’’’’’’’’’�
3,3,Soul,"Some boys just got the look of a Greek Adonis
An' some boys just try to talk you off your feet
Some boys think they're God's gift to woman
An' some boys just think they're sweet enough to eat
I change the habit of a lifetime
Don't even try
'Cause when you cut down deeper than the icing
You realize

What you get is what you see
Ain't nothing more to it
And if you wanna love a woman like me
It takes a man to do it
If what you get is what you see
Then I don't want your kind of love

Some guys just got lips that you can't help kissing
And some guys just got a smile you can't resist
Some guys just got to build a reputation
They just wanna add you to the list
You got a lot of physical attraction
I can't deny, but can you guarantee me satisfaction
While, I'm still waiting, waiting, waiting, waiting, waiting, oohhh

What you get is what you see
Ain't nothing more to it
And if you wanna love a woman like me
It takes a man to do it
If what you get is what you see
Then I don't want your kind of love

So, let me see your cards on the table
Before I buy
I always read the writing on the label
So, give me reason to believe
There's more to you than meets the eye

What you get is what you see
Ain't nothing more to it
And if you wanna love a woman like me
It takes a man to do it
If what you get is what you see
Then I don't want your kind of love

Ain't nothing more to it
Doesn't matter, doesn't matter at all
I don't want your kind of love
Ain't nothing else to it
I don't want your kind of love, oooohh
What you get is what you see","some boys just got the look of a greek adonis an some boys just try to be a fine rock star and nothing else. They want me to do what they want me to do.""

""I believe he's right,"" Penn said, before rolling his eyes and stepping away. ""I think they got it all wrong.""

All around the corner was a group of more than three dozen Marines, including our sergeant, who told Penn that they had decided to run.

""We're very proud of the Marines of the Marine Corps,"" said the friend. ""<|endoftext|>",gpt2,0.39999999999999997,1.0,0.609274578801722,"some boys just got the look of a greek adonis an some boys just try to be a fine rock star and nothing else. they want me to do what they want me to do.

i believe hes right, penn said, before rolling his eyes and stepping away. i think they got it all wrong.

all around the corner was a group of more than three dozen marines, including our sergeant, who told penn that they had decided to run.

were very proud of the marines of the marine corps, said the friend. "
4,4,Soul,"Sitting here thinking about the times I've roamed
Different girls that I have known
Of all girls that I have met
You are the one girl that I can't forget
Listen
We had our time now
Good and bad now
I can't forget 'em
And I sure ain't gon' forget 'em now
Remember Side Street
Where we used to meet
Making love, nobody but you and me

Champagne and wine
That's what you gonna get
Champagne and wine
What it's gon' be
Just as long, girl, as you see about me

I'm gonna be knocking on your door
I want the same love that I had before
Listen
I'm a man now, full grown man
You got me eating from the tip of your hand
I don't mind eating
Long as you feed me
Good love and good ol' sympathy

Champagne and wine
That's what it's gon' be

Every day is gonna just be like Sunday
Every night you're gonna have stars in the sky
Ooh, giving you champagne and wine
I'm gonna give it to you, ooh, ooh wee
Ooh, na na na na na na na na na na
Ooh wee, baby, giving you champagne and wine
I really love you, baby
I really do need you, honey
Really do want you, baby
Really do love you, honey","sitting here thinking about the times ive roamed different girls that i have known of all my life,"" she said.

Despite its similarity to that of the picture from Tippi Hedren's novel, it also took a few tries to find its 'authenticity.'

As for ""Jasmin,"" who was lucky enough to get a blue plate through the nappy of a friend's home when she went to check her bag, it would be a mistake to call it a success, but it's a story about girl.<|endoftext|><|endoftext|>",gpt2,0.4,1.0,0.6102734648187736,"sitting here thinking about the times ive roamed different girls that i have known of all my life, she said.

despite its similarity to that of the picture from tippi hedrens novel, it also took a few tries to find its authenticity.

as for jasmin, who was lucky enough to get a blue plate through the nappy of a friends home when she went to check her bag, it would be a mistake to call it a success, but its a story about girl."
5,5,Soul,"Ah, he can buy her diamonds, he can buy her pearls
He can send her on a trip, all around this world
He can buy her anything her little heart desires
But he don't know how to set that little girl's soul on fire
Even though he drives a big fine Cadillac car
And he keeps her dressed up (ah!) like a movie star
Anything she asks of him, his money can buy
But when it comes down to love, she gives me a try!
No man can love her like I do
Tell the truth, no man can love her like I do
No man can love her like I do
Even though I don't have one thin dime
Everytime I call her, you know she's right on time
No man can love her like I do
Ain't no man in this land who can love her like I do!
No man can love her like I do!","ah, he can buy her diamonds, he can buy her pearls he can send her on tours and travel with her, he can spend the night with her, he can spend the night with her, and she will buy him a cake every night, she will buy him a horse and a car, he can buy her a truck, he can spend her money and he can buy her a house, he can spend her a room, he can spend her milk, he can buy her a cookbook, he can buy her a home, he can spend her money, he can buy her<|endoftext|>",gpt2,0.0,0.0,0.0,"ah, he can buy her diamonds, he can buy her pearls he can send her on tours and travel with her, he can spend the night with her, he can spend the night with her, and she will buy him a cake every night, she will buy him a horse and a car, he can buy her a truck, he can spend her money and he can buy her a house, he can spend her a room, he can spend her milk, he can buy her a cookbook, he can buy her a home, he can spend her money, he can buy her"
6,6,Soul,"Alone tonight
Begin tonight
Till it's all right
Damn lover friend of mine

She got your number, she know your game
She put you under, it's so insane
Since you seduced her, how does it feel
To know that woman is out to kill?

Susie got your number, and Susie ain’t your friend
Look who took you under with seven inches in
Blood is on the dance floor, blood is on the knife
Susie's got your number, and Susie says it's right

Susie says it's, Su-Su says it's
(Take my-Take my money)
Susie got your, Su-Susie got your
(Throw my time away)
Blood is on, is on, blood is
(You've been talking garbage)
The dance floor, the dance the night
(You're damn, damn good for me)

I never knew, but I was walking the line
""Come go with me,"" I said I have no time
And don't you pretend we didn't talk on the phone
My baby cried, she left me standing alone

Welcome to Heartbreak Hotel
This is Heartbreak Hotel, it's so evil
Heartbreak Hotel
This place is Heartbreak Hotel

10 years ago today
Dangerous, and Susie ain’t your friend
Dangerous, with seven inches in
Dangerous, blood is on the knife
Dangerous, and Susie says it's right

A haunting ghostly treat, the foolish trickery
And spirits dancing in the night
But if you came to see the truth, the purity
It's here inside a lonely heart

So just leave me alone, girl
Leave me alone
Leave me alone, girl
Leave me alone
Stop it, just stop dogging me around

It was blood on the dance floor, to enjoy that simple dance
It was blood on the dance floor, everything was on my side
It was blood on the dance floor, like it was love and true romance
It was blood on the
And I just can't take it, the girl won't break it

You've been, you've been, you don't, you don't, don't
You don't, you don't, don't mess with my baby
She don't, she don't, she don't know it
She just, she just, mess with my baby","alone tonight begin tonight till its all right damn lover friend of mine she got your breath back I don't need you to keep on talking now do you want me to go home to my room, get dressed and just do anything? You know what you want I don't know you didn't do it, I don't need you to keep on talking now do you want me to go home to my room, get dressed and just do anything?<|endoftext|><|endoftext|>",gpt2,0.0,0.0,0.0,"alone tonight begin tonight till its all right damn lover friend of mine she got your breath back i dont need you to keep on talking now do you want me to go home to my room, get dressed and just do anything? you know what you want i dont know you didnt do it, i dont need you to keep on talking now do you want me to go home to my room, get dressed and just do anything?"
7,7,Soul,"Magdalena sits in her chair speaking of the mass
She talks in slicing splinters, she laughs like breaking glass
She says that she would have me spirit her away
Stealing all my images 'til there's nothing left to say

Oh, Magdalena
Nothing like the saint you are
Your love is like a razor
My heart is just a-scar
Oh, Magdalena
Nothing like the saint you are

Magdalena lying there could make a dancer stumble
Make a preacher bite his tongue and leave him with a mumble
And if you think I'm crazy, babe, or that I'm funning you
Just pay your dues and lose your blues
When Maggie is kissing you
 (2x)","magdalena sits in her chair speaking of the mass she talks in slicing splinters, she laughs, she asks, ""What kind of people do you really want to see in Africa?""

""Right, yes,"" she says. ""I want to see Africa in some way. We have to learn from those people, and then the Africans can learn to be more positive and I want to see Africa, because I want to see Africa in Africa in some way.""

We meet up at the end of the table, and the two young black boys ask her to pose for pictures,<|endoftext|>",gpt2,0.4,1.0,0.6613174144211368,"magdalena sits in her chair speaking of the mass she talks in slicing splinters, she laughs, she asks, what kind of people do you really want to see in africa?

right, yes, she says. i want to see africa in some way. we have to learn from those people, and then the africans can learn to be more positive and i want to see africa, because i want to see africa in africa in some way.

we meet up at the end of the table, and the two young black boys ask her to pose for pictures,"
8,8,Soul,"I'm a Love Man
Call me a Love Man
Ooh baby, I'm a Love Man
That's what they call me, I'm a Love Man
I'm six-feet-one, weigh two-hundred-and-ten
Long hair, real fair skin
Long legs and I'm outta sight
Hey, little girl, I wanna take you out
'Cause I'm a love man
That's what they call me, I'm a Love Man

Make love to you in the mornin', girl
Make love to you at night now
Make love to when you think about it
I'm gonna bet you everything's alright
'Cau-cau-cau-cau...

'Cause I'm a Love Man
Ooh baby, I'm a Love Man
That's what they call me, I'm a Love Man
Baby, call the Love Man
I'm six-feet-one, weigh two-hundred-and-ten
Long hair, real fair skin
I'm long-legged and I'm outta sight
My, my baby, I wanna take you out
'Cause I'm a love man
Ooh baby, I'm a Love Man
Take my hand; let me holler one time, OW!


Love Man, that's all I am now
I'm just a Love Man
Ooh baby, call me the Love Man
Yes I am, I'm just a Love Man
Let me tell you somethin'
Which one of you girls want me to hold you?
A Which one of you girls want me to kiss you?
Which one of your girls wants me to take you out?
Lord, I bet you gonna knock you all night
'Cause baby, I'm a Love Man
All right, ooh baby, I'm a Love Man
Let me tell ya
I'm sayin' I'm just a Love Man, good ol' man
I'm just a Love Man, fancy man
I'm just a Love Man, good ol' man
I'm just a...good ol' man","im a love man call me a love man ooh baby, im a love man thats the way to go So I must admit I love you oh love you, and you must love me Yes its true Yes I have to admit you I love you, and I must love you yes Yes I love you, and I must love you yes Yes You must love me yes Yes You must love me yes Yes You must love me yes Yes You must love me yes Yes You must love me yes Yes You must love me yes Yes Yeah, yeah, yeah yeah. Yeah Yes I love you Oh<|endoftext|>",gpt2,0.0,0.0,0.0,"im a love man call me a love man ooh baby, im a love man thats the way to go so i must admit i love you oh love you, and you must love me yes its true yes i have to admit you i love you, and i must love you yes yes i love you, and i must love you yes yes you must love me yes yes you must love me yes yes you must love me yes yes you must love me yes yes you must love me yes yes you must love me yes yes yeah, yeah, yeah yeah. yeah yes i love you oh"
9,9,Soul,"Hee-Hee!
Ooh!
G'on girl!
Aaow!
Hee!

Hey, pretty baby with the high heels on
You give me fever like I've never, ever known
You're just a product of loveliness
I like the groove of your walk, your talk, your dress

I feel your fever from miles around
I'll pick you up in my car and we'll paint the town
Just kiss me baby and tell me twice
That you're the one for me

The way you make me feel
(The way you make me feel)
You really turn me on
(You really turn me on)
You knock me off of my feet
(You knock me off of my feet)
My lonely days are gone
(My lonely days are gone)

I like the feeling you're giving me
Just hold me, baby, and I'm in ecstasy
Oh, I'll be working from 9 to 5
To buy you things to keep you by my side

I've never felt so in love before
Just promise baby, you'll love me forevermore
I swear I'm keeping you satisfied
Cause you're the one for me

The way you make me feel
(The way you make me feel)
You really turn me on
(You really turn me on)
You knock me off of my feet
(You knock me off of my feet)
My lonely days are gone
(My lonely days are gone)

Acha-ooh!
G'on girl!
G'on!
Hee! Hee! Aaow!
G'on, girl!

I've never felt so in love before
Just promise baby, you'll love me forevermore
I swear I'm keeping you satisfied
Cause you're the one for me

The way you make me feel
(The way you make me feel)
You really turn me on
(You really turn me on)
You knock me off of my feet now, babe (Hee!)
(You knock me off of my feet)
My lonely days are gone (ah, ah)
(My lonely days are gone)
The way you make me feel
(The way you make me feel)
You really turn me on
(You really turn me on)
You knock me off of my feet now, babe (Hee!)
(You knock me off of my feet)
My lonely days are gone
(My lonely days are gone)

Ain't nobody's business
Ain't nobody's business
(The way you make me feel)
Ain't nobody's business
Ain't nobody's business
But mine and my baby
(You really turn me on)
Hee-hee!
(You knock me off of my feet)
Hee-hee! Ooh!
(My lonely days are gone)
Give it to me
Give me some time
(The way you make me feel)
Come on, be my girl
I wanna be with mine
(You really turn me on)
Ain't nobody's business
(You knock me off of my feet)
Ain't nobody's business
But mine and my baby
G'on, girl! Aaow!
(My lonely days are gone)

Hee-Hee!
Hoo!
Choo-coo, choo-coo
Choo-coo, choo-coo, choo-coo
G'on, girl!

The way you make me feel (Hee-Hee-Hee!)
You really turn me on
You knock me off of my feet
My lonely days are gone
The way you make me feel
You really turn me on
You knock me off of my feet
My lonely days are gone","heehee! ooh! gon girl! aaow! hee! hey, pretty baby with the high heels on you give him what he wants! heehehehehe! yeah... OH, ya haehehe Heehe heehe! Wow... yah, that really came out right, babe, huh? yeah Yeah, yeah that was a big surprise. Heehehehehe Heehe heehe Heehehe Heehe heehe Heehehe Heehe heehe... Wow, wow, wow, wow, wow, wow, wow He<|endoftext|>",gpt2,0.0,0.0,0.0,"heehee! ooh! gon girl! aaow! hee! hey, pretty baby with the high heels on you give him what he wants! heehehehehe! yeah... oh, ya haehehe heehe heehe! wow... yah, that really came out right, babe, huh? yeah yeah, yeah that was a big surprise. heehehehehe heehe heehe heehehe heehe heehe heehehe heehe heehe... wow, wow, wow, wow, wow, wow, wow he"
